合約院所名單0710_1_處理-個資-欄位
鄉鎮市區,機構類別,合約醫療院所名稱,十碼代碼,公費疫苗各項常規疫苗,公費疫苗卡介苗,公費疫苗其他_請自行填列,自費疫苗A型肝炎疫苗幼兒,自費疫苗A型肝炎疫苗成人,自費疫苗B型肝炎疫苗,自費疫苗肺炎鏈球菌疫苗13PCV,自費疫苗肺炎鏈球菌疫苗23PPV,自費疫苗輪狀病毒疫苗,自費疫苗Tdap疫苗,自費疫苗其他_請自行填列,接種時間,洽詢電話,地址
東區,合約院所,祐幼診所,3517020426,V,,,V,V,V,V,,V,,帶狀皰疹疫苗、子宮頸疫苗,星期一至五門診時段,04-22235114,臺中市東區台中路121號
東區,合約院所,林豊釜小兒科診所,3517022215,V,,,V,V,V,,,,,,星期一至星期日08:00~12:00、14:00~18:00、18:30~21:30(每週四休診),04-22126228,臺中市東區旱溪東路一段293號
東區,合約院所,佑佑診所,3517022199,V,,,,,,,,,,,星期一~星期六門診時段,04-22155628,臺中市東區十甲路501號1樓
東區,合約院所,翔新診所,3503230067,V,,,V,V,V,V,,,,帶狀皰疹疫苗,星期一至六上午8:15~12:00；星期一、四18:30-21:30,04-22110707,臺中市東區十甲東路768號
東區,醫療院所,華幼診所,3503230110,V,,,,,,,,,,,週一～週六(周二休診) 上午 08：00～12：00、下午 03：00～06：00、晚上 06：30～09：30；週日晚上有門診,04-23600099,臺中市東區進化路211號
南區,衛生所,臺中市南區衛生所,2317040012,V,V,流感疫苗(成人、幼兒)、成人PPV-CDC、成人PPV(臺中市)、成人13PCV(臺中市)、輪狀病毒疫苗、A型肝炎疫苗、育齡婦女MMR,,,,,,,,,常規疫苗預防接種時間：每週二、週三 上午八點半至十一點半;卡介苗：每個月第二週的星期三早上九點至十一點，以上時間國定假日除外,04-22629735,臺中市南區工學路72號2樓
南區,合約院所,陳德義小兒科診所,3517040697,V,,流感疫苗(成人、幼兒)、成人PPV-CDC、成人PPV(臺中市)、成人13PCV(臺中市),,,V,,,V,,,0830-1200、1500-1730、1830-2130(休診時間除外;每週四上午、下午，週日一天為休診時間),04-22650913,臺中市南區美村南路147號
南區,合約院所,陳豪江診所,3517040777,V,,流感疫苗(成人、幼兒)、成人PPV-CDC、成人PPV(臺中市)、成人13PCV(臺中市),,,V,,,,,流感疫苗,0830-1200、1500-1730、1830-2100(休診時間除外;每週六下午，週日一天為休診時間),04-22622132,臺中市南區復興路二段100號
南區,合約院所,淵元兒科診所,3503250256,V,,流感疫苗(成人、幼兒),,,,V,,V,,流感疫苗,0800-1200、1500-1800、1830-2100(休診時間除外;每週三為休診時間),04-23755460,臺中市南區南屯路一段271號
南區,合約院所,穎眾小兒科診所,3503250149,V,,流感疫苗(成人、幼兒),V,V,V,V,,V,,HPV,0730-1200、1530-1830、1900-2130(休診時間除外;每週日為休診時間),04-22603549,臺中市南區工學路159號
南區,合約院所,林志鴻小兒科診所,3517040900,V,,流感疫苗(成人、幼兒),V,V,V,V,,V,,HPV、流感疫苗、帶狀皰疹疫苗,0830-1200、1500-1800、1900-2130(休診時間除外;每週三下午、週六下午及週日一天休診時間),04-22603552,臺中市南區美村南路199號
南區,合約院所,祐強診所,3503250014,V,,流感疫苗(成人、幼兒)、成人PPV(臺中市),V,V,V,V,,V,,VAR、HPV、流感疫苗,0815-1200、1500-1800、1845-2115(休診時間除外，每週三上午、週六整天、週日下午及晚上為休診時間),04-22617128,臺中市南區工學路128號1、2樓
南區,合約院所,李宜瑞診所,3517040428,V,,流感疫苗(成人、幼兒)、成人PPV-CDC、成人PPV(臺中市)、成人13PCV(臺中市),,,,,,,,流感疫苗,0830-1200、1500-1800、1900-2130(休診時間除外，每週二下午、週六晚上、週日一天休診時間),04-22862716,臺中市南區忠孝路101號
南區,合約院所,慶燿診所,3503250078,V,,流感疫苗(成人、幼兒),V,,V,V,,V,,HPV、流感疫苗,0830-1200、1500-1730、1830-2100(休診時間除外;週日一天為休診時間),04-22872877,臺中市南區國光路241號
南區,合約院所,林忠立診所,3517041934,V,,流感疫苗(成人、幼兒),V,V,V,,,V,,HPV、流感疫苗,0800-1200、1500-2130(休診時間除外;週日一天為休診時間),04-22619948,臺中市南區美村南路58號
南區,合約院所,陳鉉煒小兒科診所,3517040839,V,,流感疫苗(成人、幼兒)、成人PPV(臺中市),V,V,V,V,,V,,VAR、HPV,每週一至週六 0900-1200、1500-1800、1900-2200，,04-22861566,臺中市南區台中路156號
南區,合約院所,瑞銘小兒科診所,3503250050,V,,流感疫苗(成人、幼兒),V,,,V,,V,,流感疫苗,0730-1200、1430-1800、1830-2100(休診時間除外，每週二整天休診),04-22652116,臺中市南區工學路140-142號1樓
南區,合約院所,中山醫學大學附設醫院,1317040011,V,V,B型肝炎免疫球蛋白、流感疫苗(成人、幼兒)、成人PPV-CDC、成人PPV(臺中市)、成人13PCV(臺中市)、育齡婦女MMR,V,V,V,V,,V,,MMR、VAR、DTP(成人)、HPV、PPV、泡疹、狂犬病、流感疫苗,常規疫苗接種時間：每週一至週六0900-1130、1400-1630;卡介荅：每週五下午1400-1600，國定假日除外,04-24739595,臺中市南區建國北路一段110號
北區,衛生所,臺中市北區衛生所,2317050018,V,V,A型肝炎疫苗，育齡婦女MMR,,,,,,,,,每週二、三8:30-11:30,04-22359182,臺中市北區永興街301號
北區,合約院所,中國醫藥大學附設醫院,1317050017,V,,,,V,V,,V,,V,流感疫苗,請參閱網路門診時間，依每月門診表為主,04-22052121,台中市北區育德路2號
北區,合約院所,中國醫藥大學兒童醫院,1303260014,V,V,,V,,V,V,,V,,MMR、var、流感疫苗,1.請參閱網路兒科門診時間，依每月門診表為主；2.卡介苗接種【每星期二、四】下午14:00-16:00,04-22052121,台中市北區育德路2號
北區,合約院所,國軍臺中總醫院中清院區,517050010,V,,,,,V,V,,,,MMR、var,【星期三】上午9:00-11:00,04-2203762704-22033178,台中市北區忠明路500號
北區,合約院所,新亞東醫院,1517050084,V,V,,V,V,V,V,,V,V,,1.【星期一~六】上午9:00-12:00、中午14:30-17:30、下午18:30-21:30 ，星期日全天休診；2.卡介苗接種【每星期二】下午14:30-16:00請先電話預約,04-22075779,台中市北區中清路一段403號
北區,合約院所,祥佑小兒科診所,3517051967,V,,,V,V,V,V,,V,,子宮頸疫苗、帶狀皰疹疫苗、流感疫苗(成人),【星期一~五】上午07:30-12:00、下午15:00-18:00、晚上19:00-21:00，【星期六】09:00-12:00、15:00-18:00、星期日全天休診,04-22315688,台中市北區三民路三段348號
北區,合約院所,施永泰小兒科診所,3517051770,V,,,V,V,V,V,,V,,子宮頸疫苗、帶狀皰疹疫苗,【星期一~五】上午08:30-12:00、下午15:00-18:00、晚上19:00-21:00；【星期六】08:30-12:00 星期日全天休診,04-22363426,台中市北區梅亭街200號
北區,合約院所,呂錦泉小兒科診所,3517050246,V,,,V,V,V,,,,,流感疫苗(成人)、帶狀皰疹疫苗,【星期一~六】上午08:30-12:00、下午15:00-18:00、晚上19:00-21:00，星期日全天休診,04-22334393,台中市北區崇德路一段119號
北區,合約院所,永旭診所,3517054431,V,,,,,,,,,,,【星期一~六】上午08:30-12:00、下午14:30-18:00、晚上19:00-21:30，星期日全天休診,04-22066767,台中市北區民權路353號1樓
北區,合約院所,展弘耳鼻喉科診所,3517052080,V,,,,,V,V,,V,,流感疫苗、子宮頸癌疫苗,【星期一~六】上午08:30-12:00、下午15:00-18:00、晚上19:00-21:30，星期日全天休診,04-22307388,台中市北區漢口路四段322、326號
北區,合約院所,謝佳璋小兒科診所,3517054002,V,,,V,V,V,V,,V,,子宮頸疫苗、帶狀皰疹疫苗,【星期一~六】上午08:30-12:00、下午15:30-17:00、晚上18:00-21:30；星期四全天休診，星期日上午08:30-12:00、晚上18:00-21:30,04-22355918,台中市北區漢口路四段357號
北區,合約院所,陳萬得小兒科診所,3517051092,V,,,V,V,V,V,,,,帶狀皰疹疫苗,【星期一~五】上午09:00-12:00、下午16:00-18:00、晚上19:00-21:00,04-22338416,台中市北區進化北路300號
北區,合約院所,江坤燦小兒科診所,3517052660,V,,,V,V,V,V,,V,,流感疫苗,【星期一~六】上午08:30-12:00、下午15:00-18:00、晚上19:00-21:30星期三下午、星期六晚上休診,04-22339598,台中市北區進化北路118巷53號
北區,合約院所,許文俊小兒科診所,3517054164,V,,,,,,,,,,,【星期一~六】上午08:30-12:00、下午15:00-18:00、晚上19:00-21:30；星期三下午、星期六晚上休診、星期日全天休診,04-22350366,台中市北區進化北路265號
北區,合約院所,巧比小兒科診所,3517052268,V,,,V,V,V,V,,V,,子宮頸疫苗、帶狀皰疹疫苗、3價&4價流感疫,【星期一~六】上午08:00-12:00、下午15:00-18:00、晚上18:30-21:00；星期五、六晚上休診、星期日全天休診,04-22957373,台中市北區北平路二段43號
北區,合約院所,弘安家醫科診所,3517050602,V,,,,,,,,,,,【星期一~五】上午08:00-12:00、下午16:00-20:30、星期六下午、晚上休診，星期日全日休診,04-22978068,台中市北區天津路2段166號
北區,合約院所,鄭俊智小兒科診所,3517051225,V,,,V,V,V,V,,V,,子宮頸疫苗、3價&4價流感疫苗、帶狀皰疹疫苗,【星期一~五】上午07:30-12:00、下午16:00-21:30、星期六下午、晚上休診，星期日全日休診,04-22957083,台中市北區漢口路四段50號
北區,合約院所,秀慧小兒科診所,351704066,V,,,V,V,V,V,,V,,,【星期一~五】上午09:00-12:00、下午16:00-19:30、星期六全天休診；【星期日】晚上18:30-21:00,04-22031830,台中市北區忠太東路58-12號
北區,合約院所,正馨婦產科診所,3517005427,,,B型肝炎疫苗，B型肝炎免疫球蛋白,,,,,,,,HBIG(自費)、成人百日咳,【星期一~六】上午09:00-12:00、下午14:00-17:00、晚上18:30-21:30；星期日全日休診,04-22933899,台中市北區中清路一段820號
北區,合約院所,光恒診所,3503260056,V,,,,,,,,,,子宮頸疫苗、流感疫苗,【星期一~六】上午08:00-12:00、下午15:00-18:00、晚上19:00-21:30；星期三下午、星期六晚上休診,04-22068638,台中市北區文化街1號
北區,合約院所,台中家幼診所,3503260118,V,,,V,V,V,V,,V,,子宮頸疫苗,【星期一~三、五】上午08:00-12:00、晚上17:00-21:00；【星期四、星期六】上午08:00-12:00；【星期日】17:00-20:00,04-22315588,台中市北區進化北路96號
北區,合約院所,家昌耳鼻喉科,3503260163,V,,,V,V,V,V,,V,,3價&4價流感疫苗,【星期一~五】上午08:30-12:00、下午15:30-21:30；【星期日】上午09:00-12:00、下午15:30-21:30；星期六休診,04-22993888,台中市北區陜西路62號
北區,合約院所,祐華親子診所,3503260234,V,,,V,V,V,V,,V,,,【星期一~日】上午08:30-12:00、下午15:30-18:00、晚上19:00-21:30；星期二、日下午休、星期六休診,04-22925668,台中市北區北平路2段194號
北區,合約院所,俐兒診所,3503260387,V,,,V,V,V,V,,V,,流感疫苗,【星期一~六】上午07:30-12:00、下午15:00-18:00、晚上18:30-21:30，星期日全天休診,04-22370635,台中市北區漢口路4段259號1F
西屯區,衛生所,臺中巿西屯衛生所,2317060014,V,V,A型肝炎疫苗，育齡婦女MMR,,,,,,,,,星期二、三  0830-1100                                        卡介苗 每個月第二個星期三 0900-1030,04-27027068,臺中市西屯區西屯路二段299號
西屯區,合約院所,行政院國軍退除役官兵輔導委員會台中榮民總醫院,617060018,V,V,育齡婦女MMR，B型肝炎免疫球蛋白,V,V,V,V,V,V,,子宮頸癌疫苗、帶狀皰疹疫苗、流感疫苗,門診時間皆可預防接種，卡介苗注射時段，每週四掛號時間14:00~16:00 (15:00開始注射),04-23592525#6555,臺中市西屯區臺灣大道4段1650號
西屯區,合約院所,澄清綜合醫院中港分院,1517061032,V,V,B型肝炎免疫球蛋白，育齡婦女MMR,V,V,V,V,V,V,,子宮頸癌疫苗,1.五合一：週一、三、五注射；2.日本腦炎、麻疹腮腺炎德國麻疹、Tdap-IPV(國小一年級四合一疫苗)：週二、四注射；3.B型肝炎、水痘：每天注射；4.卡介苗：週二上午10：00~11：00注射,04-24632000,臺中市西屯區台灣大道4段966號
西屯區,合約院所,陳永忠小兒科診所,3517061098,V,,,V,V,V,V,,V,,子宮頸癌疫苗,星期一至星期六，早8:30~11:30，午2:30~5:30，晚7:00~9:00,04-24619339,臺中市西屯區西屯路3段159-68號
西屯區,合約院所,溢恩診所,3517064053,V,,,V,V,V,V,,V,,,週一至週六，週日休診 ，早上 8:30-12:00，下午 2:30-18:00，晚上 18:30-21:30,04-24616186,臺中市西屯區西屯路三段159-82號
西屯區,合約院所,理想家小兒科診所,3517063056,V,,,V,V,V,V,,V,,子宮頸癌疫苗、帶狀皰疹疫苗、破傷風,星期一至四及星期六、日，上午08:00-1200，下午14:30-18:00，晚上18:30-21:30，禮拜五公休，門診營業時間皆有疫苗注射,04-24618096,臺中市西屯區福雅路73號
西屯區,合約院所,吉安診所,3517061132,V,,,V,V,V,V,,V,,,週一至週六，早上 8:00-12:00，下午 15:00-18:00，晚上 18:30-21:30，週日下午休診,04-23135698,臺中市西屯區青海路1段65-2號
西屯區,合約院所,三和診所,3517062782,V,,,V,V,V,V,,V,,,週一~六、週日休診 ，早0730-1200(週六為0830-1200)，午1530-1815，晚1900-2130,04-23157982,臺中市西屯區漢口路二段110-3號
西屯區,合約院所,何茂霖小兒科診所,3517063092,V,,,V,V,V,V,,V,,子宮頸癌疫苗、帶狀皰疹疫苗、成人流感,週一至週五，早8：30-12：00，午3：00-6：00，晚7：00-9：30；週六早上及下午看診,04-24528833,臺中市西屯區福星路2-1號
西屯區,合約院所,佑兒診所,3517063127,V,,,V,V,V,V,V,V,,23、13、10價肺炎鏈球菌疫苗、子宮頸癌疫苗、破傷風疫苗、帶狀皰疹疫苗,週一至週六，早8:30-12:00 ，午 14:30-18:00，晚1900-21:30,04-23205177,臺中市西屯區大墩路887號
西屯區,合約院所,辛隆士家庭醫學科診所,3517064295,V,,,V,V,V,V,V,V,,子宮頸癌疫苗、帶狀皰疹疫苗,週一至週六(星期日休診)，早9:00~12:00，午15:00~18:00，晚18:30~21:30,04-23284798,臺中市西屯區東興路三段369號
西屯區,合約院所,陳俊宏小兒科,3517061169,V,,,V,V,V,V,,V,,子宮頸癌疫苗，流感疫苗,上午０８：００～１２：００，下午１５：００～１８：００，晚上１９：００～２１：３０；週二早上休診/週六晚上休診；星期日全天休診,04-23146466,臺中市西屯區青海路1段3-3號
西屯區,合約院所,懷生小兒科診所,3517061534,V,,,V,V,V,,,V,,,週一~六、週日休診 ，早0830-1200，晚1430-2130,04-23176257,臺中市西屯區忠義街102號
西屯區,合約院所,世民小兒科診所,3517061507,V,,,V,V,V,V,,V,,子宮頸癌疫苗、流感疫苗、帶狀皰疹疫苗,週一至週六 ，9:00~13:00，18:00~22:00,04-27083456,臺中市西屯區河南路2段413號
西屯區,合約院所,林婦產科診所,3517060340,V,,,V,V,V,,,V,,子宮頸癌疫苗、流感疫苗、帶狀皰疹疫苗,週一～週六，早上～9:00～12:00，下午～14:30～18:00，晚上～18:00～21:30,04-24514236,臺中市西屯區河南路2段420號
西屯區,合約院所,福茂聯合門診，福茂小兒科診所,3517061178,V,,,V,V,V,V,,V,,子宮頸癌疫苗、破傷風疫苗、帶狀皰疹疫苗,週一~週六 ，早09:00~12:00，午14:30~18:00 ，晚19:00~21:30,04-24518758,臺中市西屯區西屯路2段273-1號
西屯區,合約院所,林聖凱婦幼診所,3517063369,V,,B型肝炎免疫球蛋白,V,V,,V,,V,,流感疫苗、減量破傷風白喉非細胞性百日咳疫苗(Tdap)、10價肺炎練球菌疫苗,週一至週五，早上9:00-12:00 ，週六早9:00-12:00 ，週日休診,04-24623700,臺中市西屯區福科路702號
西屯區,合約院所,曾曉鐘小兒科診所,3517063494,V,,,V,V,V,V,V,V,,23/13/10價肺炎練球菌疫苗，流感疫苗，帶狀皰疹疫苗,星期一至星期六，星期日休診，早上 8：30-12：00，下午3：00-6：00，晚上7：00-9：30,04-27036888,臺中市西屯區河南路2段496號
西屯區,合約院所,崇芳小兒科家庭醫學科聯合診所,3517063083,V,,,V,V,V,V,,V,,子宮頸癌疫苗、帶狀?疹疫苗、水痘疫苗,施打預防針時間：1.週一至週六早上和下午，2.晚間提供每週一、四、六，3.日本腦炎每週二、四、六  開放施打，門診時間：早上8:00-11:00，下午2:30-5:00，晚上6:30-9:00，6個月以下幼兒建議早上和下午接種,04-24652525,臺中市西屯區福科路419號
西屯區,合約院所,福安耳鼻喉科診所,3517062979,V,,,V,V,V,V,,V,,子宮頸癌疫苗，破傷風疫苗,門診&疫苗時段，早上8:30~12:00，下午2:30~18:00，晚上18:30~21:30,04-24650233,臺中市西屯路3段153之2號
西屯區,合約院所,喜洋洋小兒科診所,3503270267,V,,,V,V,V,V,,V,,子宮頸癌疫苗，成人流感，帶狀皰疹疫苗,週一至週五早8:30-12:00 ，午 15:00-18:00，晚18:30-21:00；週六整日休診；週日16:00-21:00,04-27003777,臺中市西屯區河南路2段429號1樓
西屯區,合約院所,永群診所,3503270276,V,,,V,V,,V,,V,,,週一至週四，早 8:00-12:00，午晚 3:30-9:30；週五 :休診；週六，早  8:00-12:00午晚 3:30-9:00；週日+國定假日，早   8:30-12:00，午晚 3:30-9:00,04-24651235,臺中市西屯區西屯路三段166之29號
西屯區,合約院所,奇譽耳鼻喉科診所,3517064419,V,,,V,,V,V,,V,,,星期一至六 ，0830-1200，1500-1800，1900-2130,04-24523939,臺中市西屯區西屯路二段255號
西屯區,合約院所,安家小兒科診所,3503270507,V,,,V,V,V,V,,V,,10/13價肺炎鏈球菌、子宮頸癌疫苗、破傷風疫苗、帶狀皰疹疫苗、流感疫苗,門診時間 ，早上07:30-12:00，下午15:00-18:00，晚上18:30-21:30，星期日休診(國定假日照常診),04-22952020,臺中市西屯區大鵬路9號
西屯區,合約院所,佑家親子診所,3503270883,V,,,V,V,V,V,,V,,,星期一～五及星期日，早8：30～12：00，下午3：30～9：30,04-27086866,臺中市西屯區青海路2段242-31號
西屯區,合約院所,和德耳鼻喉科診所,3503270150,V,,,,,V,,,,,,星期一至星期六，上午07:30-1200，下午15:00-18:00，晚上18:30-21:30,04-23151156,臺中市西屯區西屯路二段100-18號1樓
西屯區,合約院所,洪耳鼻喉科兒科診所,3503271282,V,,,,,V,V,,,,,星期一至星期六，上午07:30-1200，下午15:00-18:00，晚上18:30-21:30,23173799,臺中市西屯區櫻花路121號
南屯區,衛生所,臺中巿南屯區衛生所,2317070010,V,V,A肝、育齡婦女MMR,,,,,,,,,每週二、三上午8:30-11:30,23827640,向心南路811號
南屯區,合約院所,林新醫院,917070029,V,V,育齡婦女MMR,V,V,V,V,V,V,,麻疹腮腺炎德國麻疹疫苗、子宮頸疫苗、帶狀皰疹疫苗,1.BCG接種時間(每週五)，上午10：30-11：30、下午15:00-17:00，2.日本腦炎每週一、四，上午8：30-12：00、下午14:00-17:30、 晚上18：00-21：00， 3.一般疫苗接種時間，星期一至五 ，上午8：30-12：00、下午14:00-17:30、晚上18：00-21：00 ，星期六上午8：30-12：00,22586688-1812,惠中路三段36號
南屯區,合約院所,郭品君診所,3517070293,V,,,V,V,V,,,V,,破傷風疫苗、子宮頸疫苗,週一至六，上午08：30-12：00 ，下午15：00-18：00，晚上19：00-21：30,23871515,黎明路一段1059號1樓
南屯區,合約院所,蘇晉暉診所,3517070453,V,,,V,,V,,,,,帶狀皰疹疫苗,週一至六，上午08：00-12：00，下午15：00-18：00，晚上19：00-21：30,23832676,向心路35號
南屯區,合約院所,賴東昇小兒科診所,3517072180,V,,,V,V,V,V,,V,,子宮頸疫苗,星期一 至週五，上午7：30-12：00、下午15:00-18:00、晚上19：00-21：30；星期六 上午8：30-12：00、下午15:00-18:00、晚上19：00-21：30,23280188,大業路93號1樓
南屯區,合約院所,明道小兒科診所,3517070444,V,,,V,V,,V,,V,,子宮頸疫苗,週一至六(星期四休診)上午08：30-12：00，下午15：00-18：00,23845795,向心南路933號
南屯區,合約院所,李漢亮小兒科診所,3517070499,V,,,,,V,,,,,破傷風疫苗,星期一至五，上午8：40-12：00、下午14:00-17:30、晚上17：00-21：30；星期六上午8：30-12：00、下午14:00-18:00,23851435,忠勇路41-3號
